identifier,size,kitchens,bathrooms,floor,type,year,condition,elevator,subway,district,rooms,recentOwner,longitude,latitude
44024,2,1.0,14.0,3.0,1997.0,3,6,True,False,66716.0,2.0,True,0.5100376505351366,-0.5001412850719225
139237,1,1.0,13.0,3.0,2004.0,3,6,False,False,44385.0,1.0,True,-0.8097580461261383,-0.5001412870013081
23110,2,1.0,6.0,4.0,1990.0,1,2,True,False,74127.0,2.0,True,0.5042795692111781,-0.5001413610967971
11503,2,1.0,14.0,4.0,1988.0,3,6,True,True,93519.0,2.0,True,-0.08638549942749033,-0.5001413840370154
26638,1,1.0,6.0,4.0,1997.0,4,2,False,False,41149.0,2.0,True,-2.6959370911262592,-0.5001412972500631
53717,2,1.0,22.0,1.0,2003.0,3,6,True,False,45820.0,2.0,True,-1.414913380738071,-0.5001413853291727
119190,1,1.0,6.0,4.0,1983.0,1,2,True,False,51471.0,2.0,True,-0.4514940286580113,-0.500141313357778
35603,1,1.0,23.0,1.0,2009.0,1,6,False,True,78590.0,1.0,True,-0.6770234073052654,-0.5001413760008587
82084,2,1.0,28.0,3.0,2008.0,4,6,True,False,54263.0,3.0,True,-0.3859551124569928,-0.5001413507595383
66287,3,2.0,12.0,4.0,2010.0,1,6,False,False,88193.0,3.0,True,0.7830847804852299,-0.5001412963650238
50996,2,1.0,6.0,4.0,1990.0,3,2,False,False,81990.0,2.0,True,0.030392192328211234,-0.5001413433606098
4590,5,2.0,9.0,4.0,2003.0,1,6,True,False,49371.0,2.0,False,1.6810195378860577,-0.5001412713538136
88354,2,1.0,18.0,1.0,1996.0,3,6,True,False,58885.0,2.0,True,-0.8265841375421159,-0.5001413256421233
3384,1,1.0,20.0,3.0,2008.0,4,6,False,False,55551.0,2.0,True,1.5476466211826474,-0.5001413520693964
59260,2,1.0,6.0,4.0,2003.0,4,2,True,False,55220.0,2.0,False,-2.060361704236977,-0.5001412833903478
75719,5,2.0,6.0,4.0,1998.0,3,2,True,False,42336.0,3.0,False,2.250064640799109,-0.5001412852666312
70206,1,1.0,6.0,4.0,2002.0,3,2,True,False,30167.0,2.0,False,-2.459774274562437,-0.5001413527243255
135010,3,1.0,6.0,4.0,1990.0,3,2,True,False,75858.0,2.0,False,-0.2655922002542035,-0.5001413337313824
137661,1,1.0,6.0,4.0,2004.0,4,2,True,False,43455.0,3.0,False,-0.7270806897580969,-0.500141266025877
123148,1,1.0,22.0,1.0,2004.0,3,6,False,False,57890.0,2.0,True,-1.1974779088574887,-0.5001412728583804
105983,1,1.0,18.0,4.0,2008.0,1,6,False,False,39994.0,2.0,False,-0.11563763898353117,-0.5001413155172739
127582,2,1.0,22.0,1.0,2009.0,4,6,True,False,74614.0,2.0,False,0.7326336669984801,-0.5001412896387252
103281,2,2.0,27.0,4.0,2015.0,2,6,False,False,63708.0,3.0,False,1.2508609861517563,-0.49978038115006707
95458,2,1.0,7.0,4.0,2000.0,4,2,False,False,42786.0,2.0,False,2.211903771647666,-0.5001413089325816
32175,2,1.0,21.0,4.0,2014.0,4,6,False,False,41660.0,2.0,True,-2.448475398002246,-0.4996797903816016
53560,2,1.0,4.0,4.0,1960.0,1,4,True,False,110543.0,2.0,True,-0.3018382357579376,-0.5001412423953281
79721,2,1.0,7.0,4.0,1995.0,4,2,False,False,70655.0,2.0,False,0.5935434101125477,-0.5001412850542217
79574,1,1.0,6.0,4.0,2006.0,3,6,True,False,45375.0,2.0,False,-0.3366583313111047,-0.5001412751417817
42531,2,1.0,6.0,4.0,1995.0,1,4,False,False,44288.0,1.0,True,-0.5124156154955828,-0.5001412874615285
129210,3,2.0,24.0,1.0,2000.0,3,6,True,False,75483.0,3.0,True,-0.7066286367537881,-0.5001413747264021
56197,2,1.0,6.0,4.0,2000.0,3,2,True,False,42325.0,2.0,False,-0.13843909781099997,-0.5001412617953893
52511,3,2.0,11.0,4.0,2012.0,4,6,False,False,43948.0,3.0,False,3.2389607866614822,-0.5001412541486498
146628,3,2.0,6.0,4.0,1998.0,1,2,False,False,61710.0,3.0,False,1.0418725109303277,-0.5001412451212491
50665,1,1.0,18.0,1.0,1988.0,3,6,True,True,80845.0,2.0,True,0.1943888670162498,-0.5001412986484252
90713,1,2.0,10.0,4.0,2016.0,4,6,False,False,111846.0,2.0,True,0.4311220595602791,-0.49949645976844503
97712,2,1.0,6.0,4.0,1987.0,4,2,False,True,60686.0,2.0,True,-1.084176794504819,-0.5001413563529865
123469,2,1.0,18.0,3.0,2006.0,3,6,True,False,44000.0,2.0,True,-0.26441070715235193,-0.5001413348819335
100803,1,1.0,6.0,4.0,1990.0,4,4,False,True,90665.0,2.0,True,0.13267961811074505,-0.5001413573619313
72757,3,1.0,24.0,1.0,2001.0,4,6,True,False,49307.0,2.0,True,-0.23119309649594466,-0.5001412515820359
84918,1,1.0,18.0,1.0,2000.0,4,2,True,False,40934.0,2.0,False,1.6814676904419559,-0.5001412780801121
62945,3,2.0,12.0,4.0,2005.0,4,6,False,False,36869.0,3.0,False,1.8286382737141134,-0.5001412782748208
55185,1,1.0,7.0,4.0,1988.0,3,2,False,False,96915.0,2.0,True,-0.11666974790008341,-0.5001413498036958
67130,2,1.0,6.0,4.0,1993.0,1,2,False,False,45332.0,2.0,True,-0.9938401035455572,-0.5001413320852094
125095,2,1.0,6.0,4.0,1994.0,3,2,True,False,51436.0,2.0,False,-0.5810236976854611,-0.500141297745685
9048,4,1.0,30.0,4.0,2014.0,1,6,False,False,43901.0,2.0,True,-3.687712277650467,-0.49985375513732255
143757,1,1.0,6.0,4.0,2002.0,4,2,False,False,57507.0,2.0,True,-0.9094923603783296,-0.5001412328369038
64762,2,1.0,28.0,1.0,2005.0,3,6,True,False,65499.0,2.0,True,-0.5823681553530587,-0.5001413611676002
9083,2,1.0,6.0,4.0,2009.0,3,4,False,False,39309.0,2.0,False,-1.6786307892977577,-0.4999026191829204
117718,2,2.0,18.0,1.0,1996.0,1,2,False,False,58188.0,2.0,False,0.7098729493123512,-0.5001412400234229
136695,2,1.0,6.0,4.0,1993.0,1,2,True,False,82002.0,2.0,False,0.7322398359645617,-0.5001413831342754
62717,2,1.0,24.0,1.0,2009.0,4,6,False,False,54282.0,2.0,True,-1.8759265569250765,-0.5001413151455574
60478,2,1.0,5.0,4.0,1977.0,3,2,True,False,102066.0,1.0,True,-0.2568192744635578,-0.5001413821253305
21673,3,2.0,9.0,4.0,2008.0,2,6,False,False,66128.0,3.0,False,0.39493034557852463,-0.5001413182077933
20603,1,1.0,12.0,3.0,2008.0,1,6,False,False,24224.0,1.0,True,1.6303375579311357,-0.5001413177652737
70541,2,1.0,6.0,4.0,2004.0,1,2,False,False,38281.0,2.0,False,1.8214270916786943,-0.5001412782217184
67132,3,1.0,5.0,4.0,2005.0,1,2,False,False,59972.0,2.0,False,0.28886757402226376,-0.5001413264386587
130485,2,1.0,24.0,1.0,2002.0,4,6,True,False,41048.0,2.0,True,-0.49977228126789036,-0.5001413270581861
51044,2,1.0,5.0,4.0,1980.0,3,2,True,False,64316.0,2.0,False,1.1796454709096524,-0.5001413097999201
72481,1,1.0,15.0,3.0,2006.0,4,6,True,True,86671.0,1.0,True,-0.6657924326475969,-0.5001413351297445
22942,2,1.0,18.0,4.0,2009.0,4,6,True,False,105938.0,3.0,False,0.6754874259346356,-0.4998886391200675
53076,3,2.0,6.0,4.0,2000.0,3,2,True,False,56819.0,2.0,True,-1.0147538894862107,-0.5001412697607428
86026,2,1.0,16.0,3.0,2012.0,1,6,False,False,38851.0,2.0,False,-1.8715265136492587,-0.4998023980599629
35677,2,1.0,6.0,4.0,2000.0,4,2,True,False,49307.0,2.0,True,-0.23119309649594466,-0.5001412515820359
22408,1,1.0,18.0,1.0,1997.0,2,6,True,False,46035.0,2.0,False,-0.25328837553844974,-0.5001412386427616
109050,1,1.0,25.0,1.0,2008.0,1,6,False,False,60785.0,2.0,True,1.419936723139683,-0.5001413452368931
66456,2,2.0,30.0,1.0,2003.0,1,6,True,False,56528.0,3.0,True,-1.4713670223973985,-0.5001412467497214
58877,1,1.0,14.0,4.0,1992.0,4,6,True,False,85645.0,2.0,True,0.47050516295500994,-0.5001412766994509
75217,1,1.0,23.0,1.0,2008.0,4,6,False,False,51970.0,1.0,True,-1.4033700573292607,-0.5001412902228511
25683,3,1.0,18.0,1.0,1986.0,1,6,True,False,70240.0,2.0,True,0.3546916782134343,-0.5001413567601046
29904,2,1.0,6.0,4.0,2003.0,1,6,False,False,102068.0,2.0,True,0.037684856646503194,-0.5001412622910113
140339,2,1.0,6.0,4.0,1993.0,1,2,True,False,102643.0,2.0,True,-0.23894749375058133,-0.5001413044011804
57292,1,1.0,20.0,1.0,2006.0,4,6,True,False,73994.0,2.0,True,-0.2827713815626629,-0.5001412986307243
113939,1,1.0,16.0,1.0,1996.0,3,6,True,False,47734.0,2.0,False,-0.6924371391512191,-0.5001412979580945
123850,2,1.0,25.0,1.0,2004.0,4,6,True,False,46667.0,3.0,True,1.393101891309325,-0.5001413452899954
79448,5,2.0,6.0,4.0,2005.0,1,2,False,False,38281.0,2.0,False,1.8214270916786943,-0.5001412782217184
97363,2,1.0,6.0,1.0,1995.0,4,2,False,False,41055.0,2.0,False,-1.9613335697698462,-0.5001412776729941
84842,1,1.0,6.0,4.0,1990.0,1,2,True,False,93628.0,2.0,True,-0.6158573736190749,-0.5001412879925521
99243,2,1.0,6.0,4.0,1995.0,3,2,True,False,39215.0,2.0,True,2.5710505138470463,-0.5001412555470119
15894,1,1.0,20.0,3.0,2007.0,1,6,False,False,50205.0,1.0,True,1.710828473041763,-0.5001412612289642
68037,2,1.0,6.0,4.0,1983.0,3,4,True,False,54777.0,2.0,True,-0.32688045736480004,-0.5001412733540024
106938,2,1.0,26.0,4.0,2006.0,4,6,False,False,70650.0,3.0,True,0.6209757786841031,-0.5001413271112886
32474,3,1.0,16.0,3.0,2003.0,1,6,False,False,58984.0,3.0,False,0.2435634247378284,-0.5001413142959197
2824,1,1.0,20.0,3.0,2011.0,1,6,False,False,52870.0,1.0,True,1.3016380287700948,-0.5001413084369596
79100,1,1.0,18.0,1.0,2004.0,3,6,True,False,103264.0,2.0,True,-0.7872417752887251,-0.5001412792837656
1346,1,1.0,4.0,4.0,1979.0,4,2,False,False,37824.0,2.0,False,1.4596321752855557,-0.500141293869213
59670,2,1.0,6.0,4.0,1995.0,4,2,False,False,47997.0,2.0,True,1.7907218514112895,-0.5001413647785605
4283,2,1.0,6.0,4.0,1996.0,3,2,True,False,58741.0,2.0,True,-1.1003917687991525,-0.5001413412188148
100580,2,1.0,28.0,3.0,2009.0,4,6,False,False,45281.0,2.0,False,3.6318547743560408,-0.5001413224736827
134741,1,1.0,7.0,4.0,1994.0,2,2,True,False,83100.0,2.0,True,0.40062052500005685,-0.5001412465550128
136574,3,2.0,22.0,1.0,2003.0,3,6,True,False,51827.0,3.0,False,0.3017689354792149,-0.5001413841432201
79965,2,1.0,7.0,4.0,1995.0,1,2,True,False,123002.0,2.0,True,0.40593045376811737,-0.5001412391383836
4936,3,2.0,18.0,3.0,2005.0,4,6,True,False,86612.0,3.0,True,-0.589158345593473,-0.5001413441040429
127290,1,1.0,4.0,4.0,1967.0,1,2,False,False,77394.0,2.0,True,-0.4148270013594655,-0.5001413748326068
80112,1,1.0,15.0,3.0,2007.0,4,6,True,True,67515.0,2.0,True,-1.0316071416630814,-0.5001412540778467
12290,2,1.0,15.0,3.0,1990.0,3,6,True,False,64544.0,3.0,False,0.7053099414707875,-0.5001413593975217
49472,1,1.0,22.0,1.0,2004.0,3,6,True,False,66340.0,1.0,True,-0.7868615246352534,-0.5001413003654014
137314,2,1.0,6.0,4.0,1986.0,3,2,True,False,123002.0,2.0,True,0.40593045376811737,-0.5001412391383836
55280,2,1.0,19.0,3.0,2006.0,1,6,True,False,45310.0,2.0,True,-2.7736847693797118,-0.5001413004185037
14618,2,1.0,28.0,3.0,2008.0,2,6,False,False,70655.0,2.0,False,0.5935434101125477,-0.5001412850542217
109515,2,1.0,6.0,4.0,1987.0,3,2,True,False,64989.0,2.0,True,0.30957765425573475,-0.5001412923115438
116100,2,1.0,14.0,4.0,2004.0,3,6,True,False,58737.0,2.0,True,-1.317718597635872,-0.5001413404045786
29461,2,1.0,10.0,4.0,2009.0,3,6,False,False,47574.0,3.0,False,1.8774869023041034,-0.5001412339166518
110786,2,1.0,6.0,4.0,1998.0,4,2,True,False,45724.0,2.0,False,1.41519717035183,-0.5001413222258717
16710,3,2.0,20.0,3.0,2009.0,3,6,True,False,47875.0,3.0,True,-0.5050957904163975,-0.5001412789828522
101877,2,1.0,12.0,1.0,2002.0,1,6,False,True,84090.0,2.0,True,-0.6514787116206218,-0.5001413812933936
29807,4,2.0,7.0,4.0,1997.0,3,2,True,False,35860.0,3.0,False,2.397031518364084,-0.5001412635477671
42930,3,2.0,32.0,1.0,2004.0,4,6,True,False,62837.0,3.0,True,-0.44636064483623994,-0.5001413906571093
65204,3,1.0,6.0,4.0,1988.0,4,2,False,False,84983.0,2.0,True,-0.4866672141037567,-0.5001413783196617
98,3,1.0,11.0,3.0,1994.0,4,6,True,False,70574.0,2.0,True,0.5320378669142255,-0.5001413601232539
47922,3,1.0,6.0,4.0,1985.0,3,4,True,True,128851.0,2.0,True,-0.20778052054683185,-0.500141307498818
12005,1,1.0,28.0,4.0,2014.0,4,6,False,False,43901.0,3.0,True,-3.687712277650467,-0.49985375513732255
110212,1,1.0,23.0,1.0,2005.0,4,6,True,False,56631.0,2.0,False,-0.3642944055898426,-0.50014126091035
46151,2,1.0,21.0,1.0,1999.0,3,6,True,False,80553.0,2.0,True,0.2930503312103559,-0.5001413895596606
49049,2,1.0,6.0,4.0,1989.0,4,4,False,False,50104.0,2.0,True,-1.3317335502922483,-0.500141306011952
88610,2,1.0,6.0,4.0,2000.0,3,4,True,False,36914.0,3.0,False,-1.6472193692452928,-0.5001412614590743
49260,2,1.0,6.0,4.0,1994.0,3,2,True,False,37374.0,2.0,True,-3.0181723591783776,-0.5001413369352247
140802,1,1.0,18.0,3.0,2011.0,4,6,False,False,54019.0,2.0,False,-0.5324602570855266,-0.4998859950120997
14418,2,1.0,6.0,4.0,1992.0,3,2,True,False,93192.0,2.0,False,0.5220970284021749,-0.5001413852760704
124804,1,1.0,22.0,1.0,2009.0,4,6,True,False,45099.0,1.0,False,-0.6474317582372858,-0.5001413438739326
25136,3,1.0,6.0,4.0,1997.0,3,2,True,False,81308.0,2.0,True,0.5301909351688467,-0.5001413118001089
28695,1,1.0,6.0,4.0,1993.0,4,2,True,False,53764.0,2.0,True,0.5302452566908263,-0.5001413866921333
60359,3,2.0,10.0,4.0,2009.0,1,6,True,False,47574.0,3.0,False,1.8774869023041034,-0.5001412339166518
122772,3,1.0,29.0,4.0,2012.0,2,6,False,False,38478.0,2.0,True,-0.9545384824336993,-0.49981218659446053
42690,3,2.0,26.0,1.0,1999.0,4,6,False,False,60348.0,3.0,True,0.7320632910182725,-0.5001412733717031
94866,2,1.0,6.0,4.0,1988.0,4,2,True,False,88754.0,2.0,False,0.23819917444778824,-0.500141338970815
147634,2,1.0,31.0,1.0,2002.0,4,6,False,False,58126.0,3.0,True,-0.32321375463493585,-0.5001413376255552
109302,2,1.0,6.0,4.0,1989.0,3,2,False,False,39381.0,2.0,False,-0.1954223743090984,-0.49970417714349147
125618,2,1.0,18.0,1.0,2001.0,4,6,False,False,70262.0,2.0,True,-0.7933393661247188,-0.5001413274653043
111848,2,1.0,16.0,1.0,1985.0,4,6,False,False,57548.0,2.0,True,0.5010202778957754,-0.5001413742484809
104666,1,1.0,12.0,3.0,1996.0,1,6,False,False,80645.0,2.0,True,-0.18636426052830066,-0.5001413495558849
74662,2,1.0,12.0,3.0,1993.0,4,6,True,False,70022.0,1.0,True,-0.611280785396968,-0.5001412911078904
131957,2,2.0,6.0,4.0,2003.0,4,2,False,False,41055.0,2.0,False,2.1676588920406763,-0.5001413089148808
57111,2,2.0,22.0,1.0,2001.0,3,6,True,False,55459.0,3.0,True,-0.8733413875380117,-0.5001412373860058
87008,2,1.0,7.0,4.0,2006.0,4,6,True,False,49033.0,2.0,True,1.81856163139721,-0.500141372336796
54845,4,2.0,18.0,1.0,1996.0,4,6,True,False,45052.0,3.0,True,0.6628576720872933,-0.5001413280494302
2805,2,1.0,6.0,4.0,1998.0,1,2,False,False,47733.0,2.0,False,1.3804721374620792,-0.5001413318373983
85668,3,2.0,24.0,1.0,2002.0,4,6,True,False,52911.0,3.0,False,1.4674408940620756,-0.5001412308190143
111245,2,1.0,10.0,1.0,1998.0,3,6,True,False,133021.0,2.0,False,-0.33831513772974764,-0.5001412890900009
96481,1,1.0,24.0,3.0,2005.0,4,6,False,False,48244.0,1.0,True,-0.6798888675867497,-0.5001412916035124
28382,2,1.0,5.0,4.0,2001.0,1,2,True,False,64124.0,2.0,False,1.3354395957871563,-0.5001412452805563
56962,3,1.0,6.0,4.0,1984.0,3,6,False,False,46904.0,1.0,False,-0.3631264928684377,-0.5001413758769532
61505,1,1.0,18.0,1.0,1993.0,4,6,True,False,71466.0,2.0,False,-0.3366583313111047,-0.5001412520068548
9793,3,1.0,16.0,1.0,1982.0,4,2,True,False,111218.0,2.0,True,-0.5588197755990932,-0.5001412984537165
26194,4,2.0,6.0,4.0,1996.0,2,4,False,False,50845.0,3.0,False,-0.3280212093252151,-0.5001413652918834
50288,3,1.0,6.0,4.0,1988.0,1,2,True,False,86459.0,2.0,True,-0.25186243558797916,-0.5001413058880465
84097,3,1.0,6.0,4.0,2006.0,4,4,True,False,34065.0,2.0,False,2.2243298197877297,-0.500141371929678
112024,1,1.0,30.0,4.0,2001.0,4,6,False,False,81813.0,1.0,True,-0.37192657942016977,-0.5001412880456545
106729,3,2.0,6.0,4.0,2007.0,3,2,True,False,41408.0,2.0,False,-0.09935476278686782,-0.5001412678844596
45798,2,1.0,10.0,4.0,2009.0,3,6,True,False,53106.0,2.0,True,-0.3298817214510406,-0.500141326828076
42443,2,1.0,15.0,3.0,2008.0,4,6,True,False,30000.0,3.0,False,-0.9009231402948664,-0.5001413350235397
132499,1,1.0,6.0,4.0,1991.0,3,2,True,False,39605.0,2.0,False,1.3976105776290058,-0.5001413042241726
80420,3,1.0,6.0,4.0,1997.0,3,2,True,False,41149.0,2.0,True,-2.6959370911262592,-0.5001412972500631
14522,2,1.0,6.0,4.0,1990.0,3,2,True,False,49260.0,2.0,True,-0.40177625571731146,-0.5001413343863115
15829,4,2.0,3.0,4.0,1995.0,3,2,True,False,44446.0,3.0,False,2.1973591841525186,-0.5001412731592937
103334,3,1.0,6.0,4.0,1994.0,1,4,False,False,66559.0,2.0,False,0.1326524573498517,-0.5001412335095338
66010,1,1.0,12.0,3.0,2001.0,4,6,False,False,81204.0,1.0,True,0.13326357447149575,-0.5001412696899397
36066,2,1.0,24.0,1.0,2004.0,2,6,False,False,76921.0,2.0,True,-0.7996814038093315,-0.5001412643620032
25324,2,1.0,13.0,1.0,2006.0,1,6,True,False,49710.0,2.0,True,-1.237268423666681,-0.5001412344122738
145173,1,1.0,25.0,1.0,1997.0,4,6,False,False,58907.0,2.0,True,0.8439927869423548,-0.5001413579991596
139995,1,1.0,6.0,4.0,1996.0,3,2,False,False,45149.0,2.0,True,-2.2828762384174475,-0.5001412479002725
105910,2,1.0,6.0,4.0,2008.0,3,2,True,False,40386.0,2.0,False,1.9142354118855223,-0.500141280398915
127293,1,1.0,14.0,1.0,1986.0,4,6,True,False,77104.0,1.0,True,-0.7366684383776657,-0.5001412844700958
141607,2,1.0,14.0,3.0,1989.0,3,6,True,True,97616.0,2.0,True,-0.48961415666811403,-0.5001413296070993
32118,2,2.0,6.0,4.0,2001.0,2,2,True,False,36774.0,3.0,False,-2.1750751781596707,-0.5001412883996702
2097,2,1.0,16.0,3.0,2006.0,4,6,False,False,54817.0,2.0,False,-0.5686383906868344,-0.500141344422657
47697,1,1.0,25.0,3.0,2008.0,4,6,False,False,62702.0,2.0,False,-0.6357526310237193,-0.5001412485552016
123795,2,1.0,6.0,4.0,1998.0,1,2,False,False,38574.0,3.0,False,2.3987290659241634,-0.5001412454044617
21524,1,1.0,24.0,1.0,2001.0,3,6,True,False,49307.0,2.0,True,-0.23119309649594466,-0.5001412515820359
117932,3,2.0,9.0,4.0,2012.0,4,6,False,False,52370.0,3.0,False,-2.4195220268169004,-0.5001413304036347
57941,3,2.0,20.0,4.0,2007.0,4,6,True,False,50205.0,2.0,True,1.710828473041763,-0.5001412612289642
55285,3,1.0,11.0,4.0,2013.0,3,6,False,False,85859.0,2.0,True,1.4165959495414073,-0.4997983285254227
71111,2,1.0,6.0,4.0,2002.0,4,2,True,False,53098.0,2.0,False,-1.4213097399445669,-0.5001412601846178
37992,2,1.0,18.0,4.0,2015.0,4,6,False,False,47458.0,2.0,True,-3.451495139564762,-0.49949870352004166
93707,2,1.0,28.0,1.0,2006.0,1,6,False,False,89617.0,2.0,True,-0.6861222622274996,-0.5001413130922663
11589,2,1.0,28.0,3.0,2012.0,4,6,False,False,61958.0,2.0,False,1.6720972279101127,-0.4998870396947715
61172,2,1.0,19.0,1.0,2007.0,3,6,False,False,52889.0,2.0,True,-1.138050163872814,-0.5001412864525838
134066,3,2.0,18.0,1.0,1999.0,1,6,True,False,75239.0,3.0,True,0.42554052318260976,-0.5001412767348524
1111,1,1.0,22.0,3.0,2006.0,4,6,True,False,183109.0,2.0,True,-0.33858674533935645,-0.5001413796118189
11348,3,1.0,18.0,1.0,1987.0,1,6,True,False,128756.0,2.0,False,0.19884323181395075,-0.5001413875771725
114071,1,1.0,6.0,4.0,1996.0,4,2,False,False,84084.0,2.0,False,0.5322415726215045,-0.500141352511916
3363,3,1.0,6.0,4.0,1998.0,4,2,False,False,45724.0,2.0,False,1.41519717035183,-0.5001413222258717
28716,2,1.0,12.0,3.0,1979.0,3,6,True,False,56583.0,1.0,True,-0.8022209349592273,-0.5001413255536195
85161,3,2.0,9.0,4.0,2007.0,3,6,False,False,56107.0,3.0,False,0.22184839634869852,-0.5001413562467818
26307,3,1.0,14.0,3.0,1990.0,3,6,True,False,62858.0,2.0,True,-1.0678939183081557,-0.5001413779302443
123493,2,1.0,5.0,4.0,1974.0,4,2,False,False,65357.0,2.0,True,-0.12844393777706617,-0.5001412889483946
85923,1,1.0,12.0,3.0,1995.0,1,6,True,False,83944.0,2.0,True,-0.21803370780992784,-0.5001413744254888
43107,1,1.0,6.0,4.0,1995.0,3,2,False,False,39845.0,2.0,True,-2.591639769032504,-0.5001412300224789
125836,2,1.0,22.0,1.0,2002.0,4,6,True,False,41048.0,2.0,True,-0.49977228126789036,-0.5001413270581861
94268,2,1.0,10.0,3.0,2005.0,1,6,True,False,54191.0,3.0,False,-0.4549841864416828,-0.5001413492018691
141034,2,1.0,30.0,3.0,2008.0,1,6,True,False,79346.0,2.0,True,0.847537266247813,-0.5001413500692076
18189,1,1.0,5.0,4.0,1987.0,3,4,True,True,108442.0,2.0,True,-0.3347570780437462,-0.5001413521224988
83904,2,2.0,24.0,1.0,2003.0,4,6,True,False,52390.0,3.0,True,1.6683490428973755,-0.5001412613528696
94571,2,1.0,6.0,4.0,1996.0,3,2,True,False,48852.0,2.0,False,1.807330656739445,-0.5001413163138093
86603,2,1.0,6.0,4.0,1998.0,3,2,True,False,36953.0,2.0,False,-0.18478893639253072,-0.5001413648139621
77070,2,1.0,6.0,4.0,1985.0,3,2,False,False,54777.0,2.0,True,-0.32688045736480004,-0.5001412733540024
126999,1,1.0,25.0,1.0,1994.0,4,6,True,False,60647.0,2.0,True,-1.0346219861298651,-0.5001413819306219
135920,2,1.0,24.0,1.0,2000.0,3,6,True,False,47482.0,2.0,False,-1.148697182169925,-0.5001412929133705
5893,2,1.0,6.0,4.0,1992.0,3,2,False,False,57053.0,2.0,True,-1.2581550488464412,-0.5001412722565536
141067,2,1.0,20.0,1.0,1999.0,4,6,False,False,66764.0,2.0,True,-0.1896914537461297,-0.500141281230852
20758,2,1.0,6.0,4.0,1991.0,3,4,True,False,39243.0,2.0,False,-2.603509021572903,-0.5001413522818058
21923,2,1.0,6.0,4.0,1991.0,3,6,True,False,39314.0,2.0,False,-0.12555131673459197,-0.5001413072864086
139647,2,1.0,25.0,1.0,2002.0,3,6,True,False,65374.0,3.0,True,-1.0530641428229528,-0.5001412370850924
51067,1,1.0,11.0,4.0,2005.0,3,6,False,False,51007.0,1.0,True,-1.0791520537269106,-0.5001413317134928
10176,2,1.0,4.0,4.0,2003.0,3,6,False,True,126398.0,2.0,True,-0.19951006883387082,-0.5001413409002006
74267,2,1.0,10.0,4.0,2004.0,4,6,False,False,53017.0,2.0,False,-0.31214574454291677,-0.5001413670265603
65172,2,2.0,15.0,3.0,2006.0,4,6,False,False,73820.0,2.0,True,-0.6407366306601913,-0.5001412764516399
